"part_id","hh_id","part_age","part_gender"
1257708,"HH1257708","[18,30)","F"
1257801,"HH1257801","[50,60)","M"
1257802,"HH1257802","[50,60)","F"
1257803,"HH1257803","[40,50)","F"
1257804,"HH1257804","[40,50)","M"
1257805,"HH1257805","[40,50)","M"
1257806,"HH1257806","[40,50)","M"
1257807,"HH1257807","[40,50)","M"
1257808,"HH1257808","[40,50)","F"
1257901,"HH1257901","[60,70)","M"
1257902,"HH1257902","[60,70)","M"
1257903,"HH1257903","[60,70)","M"
1257904,"HH1257904","[60,70)","M"
1257905,"HH1257905","[60,70)","M"
1257906,"HH1257906","[60,70)","M"
1257907,"HH1257907","[60,70)","M"
1258001,"HH1258001","[60,70)","F"
1258005,"HH1258005","[60,70)","F"
1258006,"HH1258006","[60,70)","F"
1258007,"HH1258007","[60,70)","F"
1258101,"HH1258101","[18,30)","M"
1258102,"HH1258102","[18,30)","M"
1258103,"HH1258103","[18,30)","M"
1258104,"HH1258104","[18,30)","M"
1258105,"HH1258105","[18,30)","M"
1258106,"HH1258106","[18,30)","M"
1258108,"HH1258108","[18,30)","M"
1258201,"HH1258201","[18,30)","M"
1258202,"HH1258202","[18,30)","M"
1258301,"HH1258301","[60,70)","M"
1258302,"HH1258302","[60,70)","M"
1258303,"HH1258303","[60,70)","M"
1258401,"HH1258401","[60,70)","F"
1258402,"HH1258402","[60,70)","F"
1258403,"HH1258403","[60,70)","F"
1258404,"HH1258404","[60,70)","F"
1258405,"HH1258405","[60,70)","F"
1258406,"HH1258406","[60,70)","F"
1258407,"HH1258407","[60,70)","F"
1258408,"HH1258408","[60,70)","F"
1258501,"HH1258501","[60,70)","M"
1258502,"HH1258502","[60,70)","M"
1258503,"HH1258503","[60,70)","M"
1258504,"HH1258504","[60,70)","M"
1258505,"HH1258505","[60,70)","M"
1258506,"HH1258506","[60,70)","M"
1258507,"HH1258507","[60,70)","M"
1258508,"HH1258508","[60,70)","M"
1258601,"HH1258601","[50,60)","M"
1258602,"HH1258602","[50,60)","M"
1258603,"HH1258603","[50,60)","M"
1258604,"HH1258604","[50,60)","M"
1258605,"HH1258605","[50,60)","M"
1258606,"HH1258606","[50,60)","M"
1258607,"HH1258607","[50,60)","M"
1258608,"HH1258608","[50,60)","M"
1258701,"HH1258701","[40,50)","M"
1258801,"HH1258801","[40,50)","M"
1258802,"HH1258802","[40,50)","M"
1258803,"HH1258803","[40,50)","M"
1258804,"HH1258804","[40,50)","M"
1258805,"HH1258805","[40,50)","M"
1258806,"HH1258806","[40,50)","M"
1258807,"HH1258807","[40,50)","M"
1258808,"HH1258808","[40,50)","M"
1258901,"HH1258901","[70,120)","M"
