DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,F,PL,2019,188737,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,F,UK,2019,388304,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,M,BE,2019,66532,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,M,DE,2019,467967,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,M,FI,2019,30668,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,M,IT,2019,313559,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,M,LU,2019,3528,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,M,NL,2019,111172,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,M,PL,2019,198049,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y20,M,UK,2019,410231,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,F,BE,2019,65044,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,F,DE,2019,443461,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,F,FI,2019,30214,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,F,IT,2019,279760,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,F,LU,2019,3589,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,F,NL,2019,105340,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,F,PL,2019,197395,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,F,UK,2019,398705,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,M,BE,2019,67766,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,M,DE,2019,491057,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,M,FI,2019,31680,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,M,IT,2019,310367,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,M,LU,2019,3776,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,M,NL,2019,107639,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,M,PL,2019,205971,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y21,M,UK,2019,422394,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,F,BE,2019,66055,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,F,DE,2019,442477,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,F,FI,2019,30848,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,F,IT,2019,281529,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,F,LU,2019,3676,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,F,NL,2019,104417,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,F,PL,2019,205303,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,F,UK,2019,406724,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,M,BE,2019,68460,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,M,DE,2019,487046,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,M,FI,2019,32872,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,M,IT,2019,310066,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,M,LU,2019,3956,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,M,NL,2019,108437,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,M,PL,2019,214716,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y22,M,UK,2019,432816,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,F,BE,2019,66616,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,F,DE,2019,436558,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,F,FI,2019,32308,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,F,IT,2019,282222,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,F,LU,2019,3855,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,F,NL,2019,105833,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,F,PL,2019,212307,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,F,UK,2019,411308,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,M,BE,2019,68918,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,M,DE,2019,480366,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,M,FI,2019,34080,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,M,IT,2019,308282,b
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,M,LU,2019,3949,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,M,NL,2019,108668,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,M,PL,2019,219992,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y23,M,UK,2019,436207,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y24,F,BE,2019,67723,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y24,F,DE,2019,446072,
ESTAT:DEMO_PJAN(1.0),28/09/23 23:00:00,A,NR,Y24,F,FI,2019,33535,
