hh_id,country,hh_size
HH2004932,Belgium,2
HH2004933,Belgium,2
HH2004934,Belgium,2
HH2004935,Belgium,2
HH2004938,Belgium,2
HH2004940,Belgium,2
HH2004941,Belgium,2
HH2004942,Belgium,2
HH2004943,Belgium,2
HH2005012,Belgium,1
HH2005013,Belgium,1
HH2005015,Belgium,1
HH2005016,Belgium,1
HH2005017,Belgium,1
HH2005018,Belgium,1
HH2005019,Belgium,1
HH2005020,Belgium,1
HH2005122,Belgium,1
HH2005123,Belgium,1
HH2005220,Belgium,5
HH2005312,Belgium,2
HH2005313,Belgium,2
HH2005314,Belgium,2
HH2005315,Belgium,2
HH2005316,Belgium,2
HH2005318,Belgium,2
HH2005319,Belgium,2
HH2005320,Belgium,2
HH2005321,Belgium,2
HH2005322,Belgium,2
HH2005323,Belgium,2
HH2005324,Belgium,2
HH2005326,Belgium,2
HH2005327,Belgium,2
HH2005328,Belgium,2
HH2005329,Belgium,2
HH2005330,Belgium,2
HH2005331,Belgium,2
HH2005332,Belgium,2
HH2005333,Belgium,2
HH2005334,Belgium,2
HH2005335,Belgium,2
HH2005336,Belgium,2
HH2005337,Belgium,2
HH2005338,Belgium,2
HH2005339,Belgium,2
HH2005340,Belgium,2
HH2005341,Belgium,2
HH2005342,Belgium,2
HH2005343,Belgium,2
HH2005415,Belgium,1
HH2005417,Belgium,1
HH2005418,Belgium,1
HH2005419,Belgium,1
HH2005420,Belgium,1
HH2005512,Belgium,2
HH2005513,Belgium,2
HH2005514,Belgium,2
HH2005515,Belgium,2
HH2005516,Belgium,2
HH2005517,Belgium,2
HH2005518,Belgium,2
HH2005519,Belgium,2
HH2005520,Belgium,2
HH2005521,Belgium,2
HH2005522,Belgium,2
HH2005523,Belgium,2
HH2005524,Belgium,2
HH2005525,Belgium,2
HH2005526,Belgium,2
HH2005527,Belgium,2
HH2005528,Belgium,2
HH2005529,Belgium,2
HH2005530,Belgium,2
HH2005531,Belgium,2
HH2005533,Belgium,2
HH2005534,Belgium,2
HH2005535,Belgium,2
HH2005536,Belgium,2
HH2005537,Belgium,2
HH2005538,Belgium,2
HH2005539,Belgium,2
HH2005541,Belgium,2
HH2005543,Belgium,2
HH2005612,Belgium,1
HH2005613,Belgium,1
HH2005615,Belgium,1
HH2005618,Belgium,1
HH2005619,Belgium,1
HH2005620,Belgium,1
HH2005621,Belgium,1
HH2005622,Belgium,1
HH2005623,Belgium,1
HH2005625,Belgium,1
HH2005626,Belgium,1
HH2005627,Belgium,1
HH2005628,Belgium,1
HH2005629,Belgium,1
HH2005630,Belgium,1
HH2005631,Belgium,1
HH2005634,Belgium,1
HH2005635,Belgium,1
HH2005636,Belgium,1
HH2005640,Belgium,1
HH2005641,Belgium,1
HH2005642,Belgium,1
HH2005712,Belgium,3
HH2005713,Belgium,3
HH2005714,Belgium,3
HH2005717,Belgium,3
HH2005718,Belgium,3
HH2005720,Belgium,3
HH2005721,Belgium,3
HH2005722,Belgium,3
HH2005723,Belgium,3
HH2005812,Belgium,1
HH2005813,Belgium,1
HH2005814,Belgium,1
HH2005818,Belgium,1
HH2005819,Belgium,1
HH2005820,Belgium,1
HH2005821,Belgium,1
HH2005822,Belgium,1
HH2005823,Belgium,1
HH2005826,Belgium,1
HH2005827,Belgium,1
HH2005828,Belgium,1
HH2005829,Belgium,1
HH2005830,Belgium,1
HH2005831,Belgium,1
HH2005832,Belgium,1
HH2005833,Belgium,1
HH2005834,Belgium,1
HH2005835,Belgium,1
HH2005836,Belgium,1
HH2005838,Belgium,1
HH2005839,Belgium,1
HH2005913,Belgium,2
HH2005914,Belgium,2
HH2005918,Belgium,2
HH2005919,Belgium,2
HH2005921,Belgium,2
HH2005925,Belgium,2
HH2005926,Belgium,2
HH2005927,Belgium,2
HH2005928,Belgium,2
HH2005929,Belgium,2
HH2005930,Belgium,2
HH2005932,Belgium,2
HH2005933,Belgium,2
HH2005934,Belgium,2
HH2005935,Belgium,2
HH2005936,Belgium,2
HH2005938,Belgium,2
HH2005942,Belgium,2
HH2005943,Belgium,2
HH2006018,Belgium,2
HH2006019,Belgium,2
HH2006021,Belgium,2
HH2006022,Belgium,2
HH2006023,Belgium,2
HH2006024,Belgium,2
HH2006027,Belgium,2
HH2006028,Belgium,2
HH2006029,Belgium,2
HH2006030,Belgium,2
HH2006032,Belgium,2
HH2006034,Belgium,2
HH2006035,Belgium,2
HH2006036,Belgium,2
HH2006037,Belgium,2
HH2006038,Belgium,2
HH2006039,Belgium,2
HH2006040,Belgium,2
HH2006041,Belgium,2
HH2006042,Belgium,2
HH2006043,Belgium,2
HH2006132,Belgium,2
HH2006138,Belgium,2
HH2006139,Belgium,2
HH2006212,Belgium,3
HH2006213,Belgium,3
HH2006214,Belgium,3
HH2006215,Belgium,3
HH2006217,Belgium,3
HH2006218,Belgium,3
HH2006414,Belgium,2
HH2006416,Belgium,2
HH2006419,Belgium,2
HH2006420,Belgium,2
HH2006424,Belgium,2
HH2006426,Belgium,2
HH2006427,Belgium,2
HH2006429,Belgium,2
HH2006430,Belgium,2
HH2006431,Belgium,2
HH2006432,Belgium,2
HH2006434,Belgium,2
HH2006435,Belgium,2
HH2006436,Belgium,2
HH2006438,Belgium,2
HH2006439,Belgium,2
HH2006440,Belgium,2
HH2006441,Belgium,2
HH2006442,Belgium,2
HH2006443,Belgium,2
HH2006512,Belgium,2
HH2006515,Belgium,2
HH2006518,Belgium,2
HH2006522,Belgium,2
HH2006524,Belgium,2
HH2006525,Belgium,2
HH2006526,Belgium,2
HH2006536,Belgium,2
HH2006537,Belgium,2
HH2006538,Belgium,2
HH2006539,Belgium,2
HH2006541,Belgium,2
HH2006543,Belgium,2
HH2006615,Belgium,2
HH2006616,Belgium,2
HH2006618,Belgium,2
HH2006619,Belgium,2
HH2006621,Belgium,2
HH2006622,Belgium,2
HH2006623,Belgium,2
HH2006624,Belgium,2
HH2006625,Belgium,2
HH2006626,Belgium,2
HH2006627,Belgium,2
HH2006628,Belgium,2
HH2006912,Belgium,2
HH2006913,Belgium,2
HH2006914,Belgium,2
HH2006918,Belgium,2
HH2006919,Belgium,2
HH2006920,Belgium,2
HH2006921,Belgium,2
HH2006924,Belgium,2
HH2007012,Belgium,4
HH2007013,Belgium,4
HH2007014,Belgium,4
HH2007015,Belgium,4
HH2007016,Belgium,4
HH2007018,Belgium,4
HH2007019,Belgium,4
HH2007020,Belgium,4
HH2007021,Belgium,4
