part_id,sday_id,day,month,year,dayofweek,wave,holiday
2130623,2021.05.26,26,5,2021,3,23,0
2130823,2021.05.29,29,5,2021,6,23,0
2131023,2021.05.26,26,5,2021,3,23,0
2131123,2021.05.26,26,5,2021,3,23,0
2131223,2021.05.30,30,5,2021,0,23,0
2131423,2021.05.29,29,5,2021,6,23,0
2131523,2021.05.30,30,5,2021,0,23,0
2131723,2021.05.26,26,5,2021,3,23,0
2132323,2021.05.26,26,5,2021,3,23,0
2132523,2021.05.31,31,5,2021,1,23,0
2132823,2021.05.30,30,5,2021,0,23,0
2132923,2021.05.30,30,5,2021,0,23,0
2133223,2021.05.26,26,5,2021,3,23,0
2133623,2021.05.30,30,5,2021,0,23,0
2133823,2021.05.29,29,5,2021,6,23,0
2134423,2021.05.26,26,5,2021,3,23,0
2135123,2021.05.29,29,5,2021,6,23,0
2135223,2021.05.26,26,5,2021,3,23,0
2135323,2021.05.30,30,5,2021,0,23,0
2135423,2021.05.26,26,5,2021,3,23,0
2135823,2021.05.26,26,5,2021,3,23,0
2135923,2021.05.29,29,5,2021,6,23,0
2136423,2021.05.26,26,5,2021,3,23,0
2137623,2021.05.27,27,5,2021,4,23,0
2137723,2021.05.30,30,5,2021,0,23,0
2137923,2021.05.26,26,5,2021,3,23,0
2138023,2021.05.29,29,5,2021,6,23,0
2138123,2021.05.26,26,5,2021,3,23,0
2138423,2021.05.26,26,5,2021,3,23,0
2138623,2021.05.26,26,5,2021,3,23,0
2138723,2021.05.29,29,5,2021,6,23,0
2138823,2021.05.26,26,5,2021,3,23,0
2138923,2021.05.29,29,5,2021,6,23,0
2139423,2021.05.30,30,5,2021,0,23,0
2139723,2021.05.30,30,5,2021,0,23,0
2140023,2021.05.27,27,5,2021,4,23,0
2140723,2021.05.31,31,5,2021,1,23,0
2141023,2021.05.30,30,5,2021,0,23,0
2141223,2021.05.26,26,5,2021,3,23,0
2141423,2021.05.26,26,5,2021,3,23,0
2141623,2021.05.26,26,5,2021,3,23,0
2141723,2021.05.26,26,5,2021,3,23,0
2142523,2021.05.26,26,5,2021,3,23,0
2142723,2021.05.27,27,5,2021,4,23,0
2143023,2021.05.30,30,5,2021,0,23,0
2143123,2021.05.26,26,5,2021,3,23,0
2143323,2021.05.26,26,5,2021,3,23,0
2143823,2021.05.30,30,5,2021,0,23,0
2144023,2021.05.31,31,5,2021,1,23,0
2144223,2021.05.31,31,5,2021,1,23,0
2144323,2021.05.30,30,5,2021,0,23,0
2144523,2021.05.30,30,5,2021,0,23,0
2145123,2021.05.29,29,5,2021,6,23,0
2145723,2021.05.30,30,5,2021,0,23,0
2146523,2021.05.29,29,5,2021,6,23,0
2146723,2021.05.30,30,5,2021,0,23,0
2147123,2021.05.30,30,5,2021,0,23,0
2147723,2021.05.30,30,5,2021,0,23,0
2147823,2021.05.28,28,5,2021,5,23,0
2148423,2021.05.27,27,5,2021,4,23,0
2148623,2021.05.26,26,5,2021,3,23,0
2150323,2021.05.28,28,5,2021,5,23,0
2150523,2021.05.26,26,5,2021,3,23,0
2150623,2021.05.27,27,5,2021,4,23,0
2150723,2021.05.28,28,5,2021,5,23,0
2150823,2021.05.27,27,5,2021,4,23,0
2151123,2021.05.28,28,5,2021,5,23,0
2151723,2021.05.30,30,5,2021,0,23,0
2152223,2021.05.27,27,5,2021,4,23,0
2152423,2021.05.30,30,5,2021,0,23,0
2152623,2021.05.28,28,5,2021,5,23,0
2152723,2021.05.27,27,5,2021,4,23,0
2152823,2021.05.26,26,5,2021,3,23,0
2153723,2021.05.26,26,5,2021,3,23,0
2153823,2021.05.25,25,5,2021,2,23,0
2154223,2021.05.27,27,5,2021,4,23,0
2154623,2021.05.30,30,5,2021,0,23,0
2154723,2021.05.30,30,5,2021,0,23,0
2154823,2021.05.28,28,5,2021,5,23,0
2154923,2021.05.28,28,5,2021,5,23,0
2155423,2021.05.28,28,5,2021,5,23,0
2155723,2021.05.28,28,5,2021,5,23,0
2155823,2021.05.30,30,5,2021,0,23,0
2156023,2021.05.30,30,5,2021,0,23,0
2156223,2021.05.30,30,5,2021,0,23,0
2156823,2021.05.30,30,5,2021,0,23,0
2157123,2021.05.26,26,5,2021,3,23,0
2158523,2021.05.29,29,5,2021,6,23,0
2159023,2021.05.27,27,5,2021,4,23,0
2159323,2021.05.27,27,5,2021,4,23,0
2159523,2021.05.26,26,5,2021,3,23,0
2160123,2021.05.30,30,5,2021,0,23,0
2160423,2021.05.25,25,5,2021,2,23,0
2160823,2021.05.27,27,5,2021,4,23,0
2162223,2021.05.27,27,5,2021,4,23,0
2162723,2021.05.27,27,5,2021,4,23,0
2162823,2021.05.25,25,5,2021,2,23,0
2163023,2021.05.26,26,5,2021,3,23,0
2163123,2021.05.29,29,5,2021,6,23,0
2164223,2021.05.30,30,5,2021,0,23,0
2164323,2021.05.27,27,5,2021,4,23,0
